,Age,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Fantasy_PPR
728,27,62.5,51.0,7.3,155.4
729,22,73.4,36.0,7.6,157.1
730,24,60.8,80.0,7.9,146.4
731,27,73.3,29.0,7.3,162.5
734,31,75.0,44.0,11.3,146.1
736,26,62.0,42.0,8.9,136.9
739,23,62.2,53.0,6.4,152.1
740,23,52.1,41.0,7.8,141.0
744,22,66.1,49.0,9.0,128.1
751,26,71.2,43.0,11.5,120.9
752,24,72.8,35.0,9.0,142.5
753,25,74.5,57.0,8.9,118.8
757,25,66.2,49.0,9.0,129.7
758,25,67.1,32.0,5.3,133.1
761,25,56.7,42.0,8.0,115.9
763,25,72.7,53.0,8.5,131.6
766,32,72.6,46.0,7.8,117.1
767,25,64.2,40.0,7.6,124.3
772,25,88.2,46.0,8.3,99.6
773,23,62.3,48.0,9.5,102.5
775,23,50.9,72.0,9.3,97.1
777,27,50.0,53.0,8.4,99.1
779,24,68.0,31.0,9.0,103.1
780,24,53.6,50.0,7.0,99.2
781,27,61.0,42.0,7.8,114.9
788,25,71.7,72.0,9.8,97.8
790,28,53.5,43.0,7.4,86.8
791,30,63.5,46.0,8.8,96.8
793,32,45.2,33.0,5.0,111.3
795,26,76.3,28.0,7.9,107.6
796,30,79.2,34.0,9.2,100.1
798,28,68.8,34.0,9.0,94.2
799,35,66.7,50.0,8.7,106.4
800,25,67.3,43.0,7.2,97.3
801,21,53.6,49.0,6.8,90.1
802,24,76.9,55.0,15.3,79.5
803,26,64.5,34.0,6.4,108.7
806,23,65.6,45.0,8.2,98.9
809,21,60.5,72.0,10.5,84.1
810,28,63.5,51.0,7.5,97.1
811,23,51.4,47.0,8.2,74.8
